soma	description	protein	new.annotation	gene
SL014130	Carbohydrate sulfotransferase 6	Q9GZX3	CHST6	CHST6
SL006713	Collectin-11	Q9BWP8	COLEC11	COLEC11
SL009045	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7	Q6UWV6	ENPP7	ENPP7
SL014093	Ectonucleoside triphosphate diphosphohydrolase 3	O75355	ENTPD3	ENTPD3
SL014028	Ectonucleoside triphosphate diphosphohydrolase 5	O75356	ENTPD5	ENTPD5
SL014088	Fc receptor-like protein 3	Q96P31	FCRL3	FCRL3
SL007024	Gremlin-1	O60565	GREM1	GREM1
SL009791	Heterogeneous nuclear ribonucleoprotein A/B	Q99729	HNRNPAB	HNRNPAB
SL014096	Leucine-rich repeat transmembrane neuronal protein 1	Q86UE6	LRRTM1	LRRTM1
SL014108	Leucine-rich repeat transmembrane neuronal protein 3	Q86VH5	LRRTM3	LRRTM3
SL006523	Lactadherin	Q08431	MFGE8	MFGE8
SL014069	Proprotein convertase subtilisin/kexin type 7	Q16549	PCSK7	PCSK7
SL006998	3-phosphoinositide-dependent protein kinase 1	O15530	PDPK1	PDPK1
SL013754	Ras GTPase-activating protein 1	P20936	RASA1	RASA1
SL001753	Sialoadhesin	Q9BZZ2	SIGLEC1	SIGLEC1
SL005488	SPARC-like protein 1	Q14515	SPARCL1	SPARCL1
SL014029	Sphingosine kinase 2	Q9NRA0	SPHK2	SPHK2
SL007502	Carbohydrate sulfotransferase 15	Q7LFX5	CHST15	CHST15
SL008945	Protein-glutamine gamma-glutamyltransferase E	Q08188	TGM3	TGM3
SL004908	Tropomyosin beta chain	P07951	TPM2	TPM2
SL004070	Ubiquitin	P62979	RPS27A	RPS27A
SL010519	Tyrosine-protein kinase ZAP-70	P43403	ZAP70	ZAP70
SL000308	Plasma protease C1 inhibitor	P05155	SERPING1	SERPING1
SL000314	Complement C3b	P01024	C3B	C3
SL000316	Complement C4	"P0C0L4, P0C0L5"	C4	C4A C4B
SL000321	Complement C5b-C6 complex	"P01031,P13671"	C5B-C6	C5 C6
SL001691	Fibroblast growth factor 7	P21781	FGF7	FGF7
SL005187	Interleukin-3 receptor subunit alpha	P26951	IL3RA	IL3RA
SL005188	Interleukin-5 receptor subunit alpha	Q01344	IL5RA	IL5RA
SL000470	Interleukin-11	P20809	IL11	IL11
SL005184	Interleukin-23	"P29460, Q9NPF7"	IL23A	IL12B IL23A
SL017189	Kininogen-1	P01042	KNG1	KNG1
SL000522	Macrophage metalloelastase	P39900	MMP12	MMP12
SL003764	"Neural cell adhesion molecule 1, 120 kDa isoform"	P13591	NCAM1	NCAM1
SL000535	Platelet-derived growth factor subunit A	P04085	PDGFA	PDGFA
SL004363	Stem Cell Growth Factor-alpha	Q9Y240	CLEC11A	CLEC11A
SL012740	A disintegrin and metalloproteinase with thrombospondin motifs 15	Q8TE58	ADAMTS15	ADAMTS15
SL012822	Brain-specific serine protease 4	Q9GZN4	PRSS22	PRSS22
SL008644	ADP-ribosyl cyclase 2	Q10588	BST1	BST1
SL009768	Chromobox protein homolog 5	P45973	CBX5	CBX5
SL014092	Cell adhesion molecule-related/down-regulated by oncogenes	Q4KMG0	CDON	CDON
SL001896	Clusterin	P10909	CLU	CLU
SL014048	Collagen alpha-1(XXIII) chain	Q86Y22	COL23A1	COL23A1
SL004708	Connective tissue-activating peptide III	P02775	PPBP-pep3	PPBP
SL006197	Mitochondrial import inner membrane translocase subunit TIM14	Q96DA6	DNAJC19	DNAJC19
SL008822	EGF-like module-containing mucin-like hormone receptor-like 2	Q9UHX3	EMR2	EMR2
SL014071	Leucine-rich repeat transmembrane protein FLRT1	Q9NZU1	FLRT1	FLRT1
SL005575	Galactoside 3(4)-L-fucosyltransferase	P21217	FUT3	FUT3
SL014008	"Alpha-(1,3)-fucosyltransferase 5"	Q11128	FUT5	FUT5
SL014094	Probable G-protein coupled receptor 114	Q8IZF4	GPR114	GPR114
SL014129	Heparan-sulfate 6-O-sulfotransferase 1	O60243	HS6ST1	HS6ST1
SL014009	Hepatoma-derived growth factor-related protein 2	Q7Z4V5	HDGFRP2	HDGFRP2
SL013548	Interleukin-34	Q6ZMJ4	IL34	IL34
SL014111	Kin of IRRE-like protein 3	Q8IZU9	KIRREL3	KIRREL3
SL013969	Kynureninase	Q16719	KYNU	KYNU
SL004299	Baculoviral IAP repeat-containing protein 7 Isoform beta	Q96CA5	BIRC7	BIRC7
SL012457	Neurexophilin-1	P58417	NXPH1	NXPH1
SL012108	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1"	P19174	PLCG1	PLCG1
SL006406	Plexin-C1	O60486	PLXNC1	PLXNC1
SL013989	R-spondin-2	Q6UXX9	RSPO2	RSPO2
SL014468	SH2 domain-containing protein 1A	O60880	SH2D1A	SH2D1A
SL014070	SLIT and NTRK-like protein 5	O94991	SLITRK5	SLITRK5
SL014091	VPS10 domain-containing receptor SorCS2	Q96PQ0	SORCS2	SORCS2
SL011499	Pancreatic hormone	P01298	PPY	PPY
SL011508	Pituitary adenylate cyclase-activating polypeptide 27	P18509	ADCYAP1-27	ADCYAP1
SL011498	Pituitary adenylate cyclase-activating polypeptide 38	P18509	ADCYAP1-38	ADCYAP1
SL000087	Interleukin-6	P05231	IL6	IL6
SL008085	"3-hydroxyisobutyrate dehydrogenase, mitochondrial"	P31937	HIBADH	HIBADH
SL001868	alpha-S1-casein	P47710	CSN1S1	CSN1S1
SL001774	"Fatty acid-binding protein, heart"	P05413	FABP3	FABP3
SL001726	Granulocyte-macrophage colony-stimulating factor	P04141	CSF2	CSF2
SL000597	Lymphotoxin-alpha	P01374	LTA	LTA
SL010830	Protein 4.1	P11171	EPB41	EPB41
SL004253	Estradiol 17-beta-dehydrogenase 1	P14061	HSD17B1	HSD17B1
SL005361	Apolipoprotein D	P05090	APOD	APOD
SL000479	Interleukin-3	P08700	IL3	IL3
SL007869	Peptidyl-prolyl cis-trans isomerase B	P23284	PPIB	PPIB
SL003524	Protein disulfide-isomerase A3	P30101	PDIA3	PDIA3
SL006119	Trefoil factor 3	Q07654	TFF3	TFF3
SL004742	Afamin	P43652	AFM	AFM
SL008590	Olfactomedin-4	Q6UX06	OLFM4	OLFM4
SL012754	Acid sphingomyelinase-like phosphodiesterase 3a	Q92484	SMPDL3A	SMPDL3A
SL016129	Protein FAM107B	Q9H098	FAM107B	FAM107B
SL005572	Gelsolin	P06396	GSN	GSN
SL000347	Corticosteroid-binding globulin	P08185	SERPINA6	SERPINA6
SL007871	UMP-CMP kinase	P30085	CMPK1	CMPK1
SL016148	"gp41 C34 peptide, HIV"	Q70626	HIV	Human-virus
SL007153	Lactoperoxidase	P22079	LPO	LPO
SL008072	Collagen alpha-1(VIII) chain	P27658	COL8A1	COL8A1
SL004739	Inter-alpha-trypsin inhibitor heavy chain H4	Q14624	ITIH4	ITIH4
SL016128	Thioredoxin domain-containing protein 12	O95881	TXNDC12	TXNDC12
SL001737	14-3-3 protein sigma	P31947	SFN	SFN
SL002823	L-Selectin	P14151	SELL	SELL
SL004156	Tumor necrosis factor receptor superfamily member 10A	O00220	TNFRSF10A	TNFRSF10A
SL002654	Ephrin type-A receptor 2	P29317	EPHA2	EPHA2
SL001729	Granulocyte colony-stimulating factor	P09919	CSF3	CSF3
SL000070	Glypican-3	P51654	GPC3	GPC3
SL000125	Interleukin-1 alpha	P01583	IL1A	IL1A
SL004080	Bone morphogenetic protein receptor type-1A	P36894	BMPR1A	BMPR1A
SL004133	Bone morphogenetic protein receptor type-2	Q13873	BMPR2	BMPR2
SL004160	BDNF/NT-3 growth factors receptor	Q16620	NTRK2	NTRK2
SL003310	"Vascular endothelial growth factor A, isoform 121"	P15692	VEGFA-iso121	VEGFA
SL000003	Angiogenin	P03950	ANG	ANG
SL003362	Complement C3d fragment	P01024	C3D	C3
SL000357	Coagulation factor IX	P00740	F9	F9
SL000360	Coagulation Factor X	P00742	F10	F10
SL007756	Growth/differentiation factor 2	Q9UK05	GDF2	GDF2
SL000021	Insulin	P01308	INS	INS
SL000516	C-C motif chemokine 7	P80098	CCL7	CCL7
SL009951	Protein Wnt-7a	O00755	WNT7A	WNT7A
SL003461	Corticotropin	P01189	POMC-cort	POMC
SL000433	Glucagon	P01275	GCG	GCG
SL000313	C3a anaphylatoxin	P01024	C3A	C3
SL003657	Calcineurin	Q08209  P63098	PPP3CA	PPP3CA PPP3R1
SL003710	Caspase-2	P42575	CASP2	CASP2
SL004814	Coactosin-like protein	Q14019	COTL1	COTL1
SL000622	Coagulation Factor V	P12259	F5	F5
SL000022	D-dimer	P02671 P02675 P02679	D-dimer	D-dimer
SL004482	Endoglin	P17813	ENG	ENG
SL005167	Galectin-8	O00214	LGALS8	LGALS8
SL004064	Phospholipase A2	P04054	PLA2G1B	PLA2G1B
SL003643	Glutathione S-transferase P	P09211	GSTP1	GSTP1
SL000280	"Aspartate aminotransferase, cytoplasmic"	P17174	GOT1	GOT1
SL003300	C-C motif chemokine 16	O15467	CCL16	CCL16
SL001766	Human Chorionic Gonadotropin	"P01215,P01233"	CGA CGB	CGA CGB
SL000836	Hemoglobin	"P69905, P68871"	HBA1	HBA1 HBB
SL000460	Immunoglobulin D	P01880	IgD	IGHD  IGK@ IGL@
SL003182	Integrin alpha-V: beta-5 complex	"P06756, P18084"	ITGAV	ITGAV ITGB5
SL004714	Leukemia inhibitory factor receptor	P42702	LIFR	LIFR
SL000510	Lysozyme C	P61626	LYZ	LYZ
SL003189	C-C motif chemokine 19	Q99731	CCL19	CCL19
SL005201	Muellerian-inhibiting factor	P03971	AMH	AMH
SL000521	Interstitial collagenase	P03956	MMP1	MMP1
SL000523	Collagenase 3	P45452	MMP13	MMP13
SL005102	Sex hormone-binding globulin	P04278	SHBG	SHBG
SL005789	Stanniocalcin-1	P52823	STC1	STC1
SL000024	Tissue Factor	P13726	F3	F3
SL000139	Epiregulin	O14944	EREG	EREG
SL004605	40S ribosomal protein SA	P08865	RPSA	RPSA
SL004925	Anterior gradient protein 2 homolog	O95994	AGR2	AGR2
SL004208	Annexin A1	P04083	ANXA1	ANXA1
SL004209	Annexin A2	P07355	ANXA2	ANXA2
SL012538	Cerebral dopamine neurotrophic factor	Q49AH0	CDNF	CDNF
SL011708	cAMP-regulated phosphoprotein 19	P56211	ARPP19	ARPP19
SL007729	Endoplasmic reticulum aminopeptidase 1	Q9NZ08	ERAP1	ERAP1
SL005675	"ATP synthase subunit beta, mitochondrial"	P06576	ATP5B	ATP5B
SL008177	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	Q07021	C1QBP	C1QBP
SL008099	Macrophage-capping protein	P40121	CAPG	CAPG
SL004866	Carbonic anhydrase 1	P00915	CA1	CA1
SL000339	Carbonic anhydrase 2	P00918	CA2	CA2
SL008380	Cathepsin Z	Q9UBR2	CTSZ	CTSZ
SL003728	Baculoviral IAP repeat-containing protein 3	Q13489	BIRC3	BIRC3
SL013240	Adapter molecule crk	P46108	CRK	CRK
SL011628	Drebrin-like protein	Q9UJU6	DBNL	DBNL
SL008178	Dermatopontin	Q07507	DPT	DPT
SL008709	Desmocollin-3	Q14574	DSC3	DSC3
SL004458	Elafin	P19957	PI3	PI3
SL003522	Endoplasmic reticulum resident protein 29	P30040	ERP29	ERP29
SL006378	S-formylglutathione hydrolase	P10768	ESD	ESD
SL005352	"Fatty acid-binding protein, epidermal"	Q01469	FABP5	FABP5
SL012248	Focal adhesion kinase 1	Q05397	PTK2	PTK2
SL010373	Immunoglobulin alpha Fc receptor	P24071	FCAR	FCAR
SL002036	Fibroblast growth factor receptor 4	P22455	FGFR4	FGFR4
SL003341	Fibrinogen gamma chain	P02679	FGG	FGG
SL006460	Platelet glycoprotein Ib alpha chain	P07359	GP1BA	GP1BA
SL012469	Glypican-5	P78333	GPC5	GPC5
SL007173	Granulins	P28799	GRN	GRN
SL000670	Glutathione S-transferase A3	Q16772	GSTA3	GSTA3
SL002756	Heterogeneous nuclear ribonucleoprotein K	P61978	HNRNPK	HNRNPK
SL003930	15-hydroxyprostaglandin dehydrogenase [NAD(+)]	P15428	HPGD	HPGD
SL006448	Histidine-rich glycoprotein	P04196	HRG	HRG
SL011616	Eukaryotic initiation factor 4A-III	P38919	EIF4A3	EIF4A3
SL007025	Tyrosine-protein kinase JAK2	O60674	JAK2	JAK2
SL006522	Galectin-3-binding protein	Q08380	LGALS3BP	LGALS3BP
SL001973	Mammaglobin-B	O75556	SCGB2A1	SCGB2A1
SL002646	Matrix metalloproteinase-14	P50281	MMP14	MMP14
SL007453	Mitogen-activated protein kinase 11	Q15759	MAPK11	MAPK11
SL007281	Mitogen-activated protein kinase 12	P53778	MAPK12	MAPK12
SL006993	Mitogen-activated protein kinase 13	O15264	MAPK13	MAPK13
SL006920	Mitogen-activated protein kinase 14	Q16539	MAPK14	MAPK14
SL001815	"Superoxide dismutase [Mn], mitochondrial"	P04179	SOD2	SOD2
SL005846	Moesin	P26038	MSN	MSN
SL003685	Nicotinamide phosphoribosyltransferase	P43490	NAMPT	NAMPT
SL004296	Adenylate kinase isoenzyme 1	P00568	AK1	AK1
SL004915	Chloride intracellular channel protein 1	O00299	CLIC1	CLIC1
SL006091	Cytoplasmic protein NCK1	P16333	NCK1	NCK1
SL003440	Platelet-activating factor acetylhydrolase	Q13093	PLA2G7	PLA2G7
SL008933	Protein DJ-1	Q99497	PARK7	PARK7
SL004932	"Peroxiredoxin-5, mitochondrial"	P30044	PRDX5	PRDX5
SL005694	Peroxiredoxin-6	P30041	PRDX6	PRDX6
SL002803	Ubiquitin carboxyl-terminal hydrolase isozyme L1	P09936	UCHL1	UCHL1
SL003653	Phosphoglycerate kinase 1	P00558	PGK1	PGK1
SL004914	Inorganic pyrophosphatase	Q15181	PPA1	PPA1
SL008176	Proteasome activator complex subunit 1	Q06323	PSME1	PSME1
SL009792	Adenylosuccinate lyase	P30566	ADSL	ADSL
SL002522	Retinoblastoma-associated protein	P06400	RB1	RB1
SL008059	40S ribosomal protein S3	P23396	RPS3	RPS3
SL005764	Scavenger receptor cysteine-rich type 1 protein M130	Q86VB7	CD163	CD163
SL006528	Seprase	Q12884	FAP	FAP
SL006629	NAD-dependent protein deacetylase sirtuin-2	Q8IXJ6	SIRT2	SIRT2
SL008190	"Spectrin alpha chain, non-erythrocytic 1"	Q13813	SPTAN1	SPTAN1
SL009868	FACT complex subunit SSRP1	Q08945	SSRP1	SSRP1
SL004737	Tropomyosin alpha-1 chain	P09493	TPM1	TPM1
SL010388	Trypsin-2	P07478	PRSS2	PRSS2
SL000142	Thymidylate synthase	P04818	TYMS	TYMS
SL004782	Tumor necrosis factor-inducible gene 6 protein	P98066	TNFAIP6	TNFAIP6
SL007464	Anti-Muellerian hormone type-2 receptor	Q16671	AMHR2	AMHR2
SL004852	Programmed cell death 1 ligand 1	Q9NZQ7	CD274	CD274
SL004853	ICOS ligand	O75144	ICOSLG	ICOSLG
SL011100	CD226 antigen	Q15762	CD226	CD226
SL014270	CMRF35-like molecule 6	Q08708	CD300C	CD300C
SL014208	Cytotoxic and regulatory T-cell molecule	O95727	CRTAM	CRTAM
SL004556	Complement decay-accelerating factor	P08174	CD55	CD55
SL003739	Tumor necrosis factor receptor superfamily member 6B	O95407	TNFRSF6B	TNFRSF6B
SL004857	Desmoglein-2	Q14126	DSG2	DSG2
SL004791	Tumor necrosis factor receptor superfamily member 25	Q93038	TNFRSF25	TNFRSF25
SL014294	Ephrin type-A receptor 10	Q5JZY3	EPHA10	EPHA10
SL007179	Ephrin type-B receptor 2	P29323	EPHB2	EPHB2
SL008414	Ephrin type-B receptor 6	O15197	EPHB6	EPHB6
SL004859	Tumor necrosis factor receptor superfamily member 18	Q9Y5U5	TNFRSF18	TNFRSF18
SL007429	Transmembrane glycoprotein NMB	Q14956	GPNMB	GPNMB
SL004849	X-linked interleukin-1 receptor accessory protein-like 2	Q9NP60	IL1RAPL2	IL1RAPL2
SL005174	interleukin-17 receptor B	Q9NRM6	IL17RB	IL17RB
SL005181	Interleukin-20 receptor subunit alpha	Q9UHF4	IL20RA	IL20RA
SL005183	Interleukin-22 receptor subunit alpha-2	Q969J5	IL22RA2	IL22RA2
SL005185	Interleukin-23 receptor	Q5VWK5	IL23R	IL23R
SL005189	Interleukin-7 receptor subunit alpha	P16871	IL7R	IL7R
SL005190	Leukocyte immunoglobulin-like receptor subfamily B member 1	Q8NHL6	LILRB1	LILRB1
SL005191	Leukocyte immunoglobulin-like receptor subfamily B member 2	Q8N423	LILRB2	LILRB2
SL007328	Protein jagged-1	P78504	JAG1	JAG1
SL007774	Protein jagged-2	Q9Y219	JAG2	JAG2
SL009202	Junctional adhesion molecule-like	Q86YT9	AMICA1	AMICA1
SL012698	Killer cell immunoglobulin-like receptor 2DL4	Q99706	KIR2DL4	KIR2DL4
SL014269	Killer cell immunoglobulin-like receptor 3DL2	P43630	KIR3DL2	KIR3DL2
SL014289	Killer cell immunoglobulin-like receptor 3DS1	Q14943	KIR3DS1	KIR3DS1
SL014209	Killer cell lectin-like receptor subfamily F member 1	Q9NZS2	KLRF1	KLRF1
SL005195	Lymphocyte activation gene 3 protein	P18627	LAG3	LAG3
SL005197	Lysosome membrane protein 2	Q14108	SCARB2	SCARB2
SL005200	MHC class I polypeptide-related sequence B	Q29980	MICB	MICB
SL014288	Cell surface glycoprotein CD200 receptor 1	Q8TD46	CD200R1	CD200R1
SL005207	Natural cytotoxicity triggering receptor 1	O76036	NCR1	NCR1
SL005208	Reticulon-4 receptor	Q9BZR6	RTN4R	RTN4R
SL007356	Neurogenic locus notch homolog protein 2	Q04721	NOTCH2	NOTCH2
SL005703	Neurogenic locus notch homolog protein 1	P46531	NOTCH1	NOTCH1
SL005209	Neurogenic locus notch homolog protein 3	Q9UM47	NOTCH3	NOTCH3
SL005210	Neuronal cell adhesion molecule	Q92823	NRCAM	NRCAM
SL009054	Neurexin-1-beta	P58400	NRXN1	NRXN1
SL008728	Neurexin-3-beta	Q9HDB5	NRXN3	NRXN3
SL014268	OX-2 membrane glycoprotein	P41217	CD200	CD200
SL005212	Prolactin receptor	P16471	PRLR	PRLR
SL005213	Tumor necrosis factor receptor superfamily member 19L	Q969Z4	RELT	RELT
SL007680	Roundabout homolog 2	Q9HCK4	ROBO2	ROBO2
SL014148	Roundabout homolog 3	Q96MS0	ROBO3	ROBO3
SL008309	Reticulon-4	Q9NQC3	RTN4	RTN4
SL005214	Semaphorin-6A	Q9H2E6	SEMA6A	SEMA6A
SL005169	Intercellular adhesion molecule 5	Q9UMF0	ICAM5	ICAM5
SL014292	Sialic acid-binding Ig-like lectin 14	Q08ET2	SIGLEC14	SIGLEC14
SL014228	SLAM family member 6	Q96DU3	SLAMF6	SLAMF6
SL005221	Scavenger receptor class F member 1	Q14162	SCARF1	SCARF1
SL005222	Scavenger receptor class F member 2	Q96GP6	SCARF2	SCARF2
SL004863	Tumor necrosis factor receptor superfamily member 19	Q9NS68	TNFRSF19	TNFRSF19
SL005223	Interleukin-27 receptor subunit alpha	Q6UWB1	IL27RA	IL27RA
SL002078	TGF-beta receptor type-2	P37173	TGFBR2	TGFBR2
SL007547	Hepatitis A virus cellular receptor 2	Q8TDQ0	HAVCR2	HAVCR2
SL004366	Tumor necrosis factor receptor superfamily member 12A	Q9NP84	TNFRSF12A	TNFRSF12A
SL005230	Netrin receptor UNC5C	O95185	UNC5C	UNC5C
SL005231	Netrin receptor UNC5D	Q6UXZ4	UNC5D	UNC5D
SL011406	"High affinity cAMP-specific 3,5-cyclic phosphodiesterase 7A"	Q13946	PDE7A	PDE7A
SL016548	AMP Kinase (alpha1beta1gamma1)	Q13131 Q9Y478 P54619	PRKAA1	PRKAA1 PRKAB1  PRKAG1
SL002542	GTPase KRas	P01116	KRAS	KRAS
SL006476	Glycylpeptide N-tetradecanoyltransferase 1	P30419	NMT1	NMT1
SL016554	"High affinity cGMP-specific 3,5-cyclic phosphodiesterase 9A"	O76083	PDE9A	PDE9A
SL007373	Peptidyl-prolyl cis-trans isomerase D	Q08752	PPID	PPID
SL005308	Proteasome activator complex subunit 3	P61289	PSME3	PSME3
SL015728	Glucokinase regulatory protein	Q14397	GCKR	GCKR
SL016550	Casein kinase II 2-alpha:2-beta heterotetramer	P68400 P67870	CSNK2A1-2B	CSNK2A1 CSNK2B
SL016551	Casein kinase II 2-alpha:2-beta heterotetramer	P19784 P67870	CSNK2A2-2B	CSNK2A2 CSNK2B
SL006921	"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial"	Q15118	PDK1	PDK1
SL006189	Kinesin-like protein KIF23	Q02241	KIF23	KIF23
SL014735	Inosine-5-monophosphate dehydrogenase 1	P20839	IMPDH1	IMPDH1
SL016557	3-hydroxy-3-methylglutaryl-coenzyme A reductase	P04035	HMGCR	HMGCR
SL007145	Nuclear receptor subfamily 1 group D member 1	P20393	NR1D1	NR1D1
SL013928	Peptidyl-prolyl cis-trans isomerase E	Q9UNP9	PPIE	PPIE
SL007237	Dual specificity mitogen-activated protein kinase kinase 4	P45985	MAP2K4	MAP2K4
SL004716	Mitogen-activated protein kinase 9	P45984	MAPK9	MAPK9
SL016549	AMP Kinase (alpha2beta2gamma1)	P54646 O43741 P54619	PRKAA2	PRKAA2 PRKAB2 PRKAG1
SL005730	"cGMP-dependent 3,5-cyclic phosphodiesterase"	O00408	PDE2A	PDE2A
SL005793	"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"	P30405	PPIF	PPIF
SL016566	Serine/threonine-protein kinase 17B	O94768	STK17B	STK17B
SL010928	Inosine-5-monophosphate dehydrogenase 2	P12268	IMPDH2	IMPDH2
SL016555	"Dual 3,5-cyclic-AMP and -GMP phosphodiesterase 11A"	Q9HCR9	PDE11A	PDE11A
SL016553	"cGMP-inhibited 3,5-cyclic phosphodiesterase A"	Q14432	PDE3A	PDE3A
SL011404	"cAMP-specific 3,5-cyclic phosphodiesterase 4D"	Q08499	PDE4D	PDE4D
SL011405	"cGMP-specific 3,5-cyclic phosphodiesterase"	O76074	PDE5A	PDE5A
SL016567	Mitogen-activated protein kinase kinase kinase 7:TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 fusion	O43318 Q15750	MAP3K7	MAP3K7 TAB1
SL007181	Non-receptor tyrosine-protein kinase TYK2	P29597	TYK2	TYK2
SL010488	Abelson tyrosine-protein kinase 2	P42684	ABL2	ABL2
SL014470	Breast cancer anti-estrogen resistance protein 3	O75815	BCAR3	BCAR3
SL003520	Calreticulin	P27797	CALR	CALR
SL005725	GRB2-related adapter protein 2	O75791	GRAP2	GRAP2
SL003331	Matrix metalloproteinase-16	P51512	MMP16	MMP16
SL014469	SHC-transforming protein 1	P29353	SHC1	SHC1
SL016563	Mitochondrial glutamate carrier 2	Q9H1K4	SLC25A18	SLC25A18
SL000406	Eotaxin	P51671	CCL11	CCL11
SL004400	Coagulation factor IXab	P00740	F9ab	F9
SL000401	Neutrophil elastase	P08246	ELANE	ELANE
SL000277	Apolipoprotein E (isoform E2)	P02649	APOE-isoE2	APOE
SL000558	Prothrombin	P00734	Prothrombin	F2
SL007195	CD70 antigen	P32970	CD70	CD70
SL003647	Annexin A6	P08133	ANXA6	ANXA6
SL004131	T-lymphocyte activation antigen CD86	P42081	CD86	CD86
SL004477	Protein S100-A9	P06702	S100A9	S100A9
SL003717	Caspase-10	Q92851	CASP10	CASP10
SL008703	Carboxypeptidase E	P16870	CPE	CPE
SL006675	Cytoskeleton-associated protein 2	Q8WWK9	CKAP2	CKAP2
SL011808	Copine-1	Q99829	CPNE1	CPNE1
SL000130	G2/mitotic-specific cyclin-B1	P14635	CCNB1	CCNB1
SL006970	Delta-like protein 1	O00548	DLL1	DLL1
SL004891	Heterogeneous nuclear ribonucleoproteins A2/B1	P22626	HNRNPA2B1	HNRNPA2B1
SL004145	Tumor necrosis factor receptor superfamily member 14	Q92956	TNFRSF14	TNFRSF14
SL000655	"Keratin, type I cytoskeletal 18"	P05783	KRT18	KRT18
SL004648	Tumor necrosis factor ligand superfamily member 14	O43557	TNFSF14	TNFSF14
SL003080	Macrophage migration inhibitory factor	P14174	MIF	MIF
SL014113	"Neuroligin-4, X-linked"	Q8N0W4	NLGN4X	NLGN4X
SL008574	Osteomodulin	Q99983	OMD	OMD
SL002702	Serine/threonine-protein kinase pim-1	P11309	PIM1	PIM1
SL010470	Semaphorin-3E	O15041	SEMA3E	SEMA3E
SL007336	Protein SET	Q01105	SET	SET
SL004671	Tumor necrosis factor receptor superfamily member 13C	Q96RJ3	TNFRSF13C	TNFRSF13C
SL016130	Transcription factor IIIB 90 kDa subunit	Q92994	BRF1	BRF1
SL003184	Leptin receptor	P48357	LEPR	LEPR
SL004871	Tumor necrosis factor receptor superfamily member 21	O75509	TNFRSF21	TNFRSF21
SL007295	Cadherin-15	P55291	CDH15	CDH15
SL004134	CD27 antigen	P26842	CD27	CD27
SL003690	Tumor necrosis factor receptor superfamily member 11A	Q9Y6Q6	TNFRSF11A	TNFRSF11A
SL003166	CD166 antigen	Q13740	ALCAM	ALCAM
SL010456	Cystatin-SN	P01037	CST1	CST1
SL011068	Interleukin-17 receptor C	Q8NAC3	IL17RC	IL17RC
SL000553	Protein kinase C beta type (splice variant beta-II)	P05771	PRKCB	PRKCB
SL000556	Protein kinase C gamma type	P05129	PRKCG	PRKCG
SL016928	SLAM family member 7	Q9NQ25	SLAMF7	SLAMF7
SL010516	Proto-oncogene tyrosine-protein kinase Src	P12931	SRC	SRC
SL010250	Stress-induced-phosphoprotein 1	P31948	STIP1	STIP1
SL010384	Testican-1	Q08629	SPOCK1	SPOCK1
SL010471	Testican-2	Q92563	SPOCK2	SPOCK2
SL009790	Small nuclear ribonucleoprotein F	P62306	SNRPF	SNRPF
